index,STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT,PAYEE 1,PAYEE AMOUNT 1,PAYEE 2,PAYEE AMOUNT 2,PAYEE 3,PAYEE AMOUNT 3,PAYEE 4,PAYEE AMOUNT 4,PAYEE 5,PAYEE AMOUNT 5,PAYEE 6,PAYEE AMOUNT 6,PAYEE 7,PAYEE AMOUNT 7,PAYEE 8,PAYEE AMOUNT 8,PAYEE 9,PAYEE AMOUNT 9,PAYEE 10,PAYEE AMOUNT 10,CATEGORY 1,CATEGORY AMOUNT 1,CATEGORY 2,CATEGORY AMOUNT 2,CATEGORY 3,CATEGORY AMOUNT 3,CATEGORY 4,CATEGORY AMOUNT 4,CATEGORY 5,CATEGORY AMOUNT 5,CATEGORY 6,CATEGORY AMOUNT 6,CATEGORY 7,CATEGORY AMOUNT 7,CATEGORY 8,CATEGORY AMOUNT 8,CATEGORY 9,CATEGORY AMOUNT 9,CATEGORY 10,CATEGORY AMOUNT 10
1043,VA,Delores L. McQuinn,State House,70,32904.76,Virginia Democratic Caucus Of,17500.0,Birdie Jamison,6200.0,Keith Westbrook,1992.42,Southern Kitchen,1900.0,Commonwealth Victory Fund,1563.6,Morse Group Cooperation,750.0,Richmond Free Press,678.07,Ashley Brown,300.0,Felicia Cosby,250.0,Sisters Network Central Va,250.0,Contribution & Donation,15454.0,Political Funds & Groups,4063.6,General Operations & Supplies,3456.85,Salary & Payroll,3300.0,Campaign Consulting,2750.0,Meals & Catering,1300.0,Event Expenses,1000.0,Media & Ads,678.07,Reimbursement,585.24,Printing,200.0
1044,VA,Terry Gene Kilgore,State House,1,376879.04,Friends Of Tim Hugo,60000.0,Corey Scott,49880.81,Christy Eige,37000.0,Colonial Leadership Trust PAC,30000.0,Friends Of Paul Milde,30000.0,Republican Party Of Virginia,21560.0,Friends Of Bob Thomas,21500.0,Friends Of Roxann Robinson,10000.0,Dj Jordan For Delegate,7500.0,Commonwealth Park Suites,5500.0,Contribution & Donation,194319.49,Campaign Consulting,51500.0,General Operations & Supplies,37303.22,Political Funds & Groups,21560.0,Media & Ads,13481.61,Fundraising & Fundraising Consulting,10000.0,Event Expenses,8500.329999999998,Salary & Payroll,5500.0,Meals & Catering,5174.78,Fuel & Gas,4893.87
1045,VA,John S. Edwards,State Senate,21,100345.23,Democratic Party Of Virginia,37500.0,Main Street Communications,14105.0,Virginia Senate Democratic Caucus,5000.0,Foundation Blue Media,4795.0,Joyce Jones,3830.0,Katharine Ransom,2200.0,Chelsea Johnson,2000.0,Patrick Giallorenzo,2000.0,Virginia Laufer For,2000.0,Joan Washburn,1750.0,Political Funds & Groups,43500.0,"PR, Communications, & Marketing",14105.0,Media & Ads,9500.0,Canvassing & Field Work,9210.0,Contribution & Donation,7800.0,Meals & Catering,2184.59,Travel & Lodging,2117.28,Website Services,1869.0,Shipping & Postage,1720.0,Event Expenses,1383.08
1046,VA,Marcia S. Price,State House,95,42207.63,Virginia House Democratic Caucus,7134.0,Marriott Hotels,6326.52,Holiday Inn,3965.85,Rising Power PAC,1890.0,Delta Airlines,1344.6,Signrocket,1117.5,Office Depot,1103.94,Northam For Governor,1000.0,Renaissance Hotel Washington Dc,835.47,Ring Central,716.1099999999999,Travel & Lodging,15321.32,Political Funds & Groups,6134.0,Contribution & Donation,5562.99,Media & Ads,3041.5600000000004,Event Expenses,2639.03,Utilities,2108.45,Office Expenses,1302.91,Meals & Catering,907.6,Software & Technology,866.88,General Operations & Supplies,857.3
1047,VA,Lee J. Carter,State House,50,215409.08,House Democratic Caucus (Virginia),71723.92,Ring Central,37372.43,Chadderdonlestingi Creative Solutions,32529.35,Switchboard Digital,22950.3,Lee Carter,4939.41,Cdb Political,4500.0,Enterprise,4040.0,Change Research Public Benefit,3500.0,Joshua Stanfield,3500.0,Gibson Print,3462.54,Canvassing & Field Work,65100.0,Salary & Payroll,41385.07,Digital Advertising,23350.3,Direct Mail,20097.6,Travel & Lodging,19980.36,Contribution & Donation,6100.0,General Operations & Supplies,5372.44,Political Funds & Groups,5361.92,Media & Ads,4509.91,Polling & Research,3500.0
1048,VA,Daniel W. Marshall,State House,14,163001.09,Colonial Leadership Trustpac,80000.0,Pip Printing & Document Services,12413.37,Creative Direct,10838.0,Virginia Treasurer Of,10124.37,Hauser Property Management,7440.0,Friends Of Tim Hugo,5000.0,Christy Eige,4430.0,Friends Of Chris Jones,2500.0,Roxann Robinson For Delegate,2500.0,Wilt For Delegate,2500.0,Contribution & Donation,98918.75,Printing,12525.37,Travel & Lodging,11832.319999999998,Shipping & Postage,11362.37,Office Expenses,8232.7,Fundraising & Fundraising Consulting,4430.0,Meals & Catering,3821.49,Utilities,2222.13,Media & Ads,2221.2,General Operations & Supplies,1584.98
1049,VA,Robert Lee Ware,State House,65,6549.67,Laura Jane Cohen For School Board,2019.0,Fairfax County Democratic Committee (Virginia),625.0,Sperling For Springfield Supervisor,601.0,The Blue Deal,535.1,Virginia Helmer For,500.0,The Studio,305.6,Progressive Change Campaign Committee,225.0,Va Blue Star Printing,218.98,United States Postal Service/Postmaster (USPS),162.0,Karl Frisch For School Board,125.0,Contribution & Donation,3642.12,Travel & Lodging,636.1,Canvassing & Field Work,601.0,Media & Ads,305.6,Political Funds & Groups,300.0,Website Services,225.0,Campaign Signs & Paraphernalia,218.98,Digital Advertising,186.14,Shipping & Postage,176.05,Printing,140.52999999999997
1050,VA,Terry L. Austin,State House,19,72678.47,Colonial Leadership Trust PAC,42500.0,Ballast Point,9259.35,Catie Austinbrown For Delegate,6359.0,Matt Ward For Sheriff,1500.0,Virginia Treasurer Of,1173.64,Friends Of David Yancey,1000.0,House Republican Committee (Virginia),1000.0,McNamara For Delegate,1000.0,Martha Washington Inn,593.4300000000001,Omni Homestead Resort,561.6700000000001,Contribution & Donation,54039.0,General Operations & Supplies,5891.959999999999,Meals & Catering,5581.789999999999,Event Expenses,1692.22,Shipping & Postage,1491.64,Travel & Lodging,1261.92,Media & Ads,1042.24,Printing,477.3,Office Expenses,438.11,Website Services,382.34
1051,VA,Rodney T. Willett,State House,73,815815.1200000001,Canal Partners Media,518155.0,Virginia House Democratic Caucus,80700.0,Three Point Media,44154.55,Christian Perkins,28531.74,Mission Control,23645.16,Dominion Payroll,21402.69,Kennon Wright,20277.0,Chadderdon Lestingi Creative Strategies,17500.0,Democratic Research Institute,10000.0,ActBlue,8014.799999999999,Media & Ads,562313.93,Political Funds & Groups,91750.0,Salary & Payroll,48808.74,Campaign Consulting,38588.2,Payroll Tax,20600.69,Printing,14590.46,Direct Mail,13771.14,Credit Card Processing Fees,8832.390000000001,Digital Advertising,4053.96,Office Expenses,3564.65
1052,VA,John J. Bell,State Senate,13,1386260.42,AL Media (Adelstein Liston),979667.0,Democratic Party Of Virginia,171690.32,Kiera Hall,33700.43,BB&T Bank/Truist,25645.95,ActBlue,21917.8,Friends Of Phyllis Randall,20000.0,Tia Walbridge For Supervisor,15000.0,Hart Research Associates,14000.0,Ryan Frasier,12250.0,Chadderdon Lestingi Creative Strategies,10321.1,Media & Ads,992658.67,Political Funds & Groups,172690.32,Contribution & Donation,55440.5,Salary & Payroll,54228.03,Credit Card Payment & Bank Fees,25648.17,Campaign Consulting,25174.43,Credit Card Processing Fees,21996.910000000003,Polling & Research,14000.0,Office Expenses,7936.53,Software & Technology,4544.32
1053,VA,Joseph P. McNamara,State House,8,112469.33999999998,Republican Party Of Virginia,49600.0,Mel Wheeler Broadcasting,10045.0,Jesse Lynch,8900.0,Bobby May Advertising,5535.0,Hite For Delegate,5000.0,Steve Mabry,5000.0,Valhalla Vineyards,3358.59,Alphagraphics,3307.4,Hall Associates,2142.0,Roxann Robinson For Delegate -,2000.0,Political Funds & Groups,50300.0,Media & Ads,17500.0,Contribution & Donation,11212.0,Campaign Consulting,8471.9,General Operations & Supplies,7431.36,Office Expenses,4619.419999999999,Printing,4441.19,Event Expenses,3358.59,Utilities,1000.0,Digital Advertising,897.3499999999999
1054,VA,Elizabeth R. Guzman,State House,31,557319.8499999999,Virginia House Democratic Caucus,135550.0,Buying Time,113087.6,Foundation Blue Media,38050.93,The Waterford At Springfield,31007.200000000004,Robert Mogollon,29362.76,Keith Brannum,29150.29,Roxann Robinson For Delegate -,24983.78,Cassandra Balosos,12336.159999999998,Christopher Fleury,11223.66,NGP VAN,7750.0,Media & Ads,157150.83,Political Funds & Groups,137533.53,Salary & Payroll,93603.54,Canvassing & Field Work,29574.27,Payroll Tax,22455.99,Contribution & Donation,20125.0,Printing,10304.08,Campaign Consulting,10158.23,Travel & Lodging,9698.03,General Operations & Supplies,8956.1
1055,VA,Margaret Bevans Ransone,State House,99,198991.8,Colonial Leadership Trust PAC,50000.0,Friends Of Roxann Robinson,27500.0,Republican Party Of Virginia,23000.0,Shannon For Delegate,20000.0,Stephen Walsh,12000.0,Virginia Treasurer Of,7768.48,Friends Of Tim Hugo,7500.0,Jennifer Peters,6000.0,Barbour Printing,5254.47,Hopper Group,5000.0,Contribution & Donation,112475.0,Political Funds & Groups,23000.0,General Operations & Supplies,17044.7,Shipping & Postage,10731.94,Printing,10441.080000000002,Campaign Consulting,8400.0,Accounting & Financial Management,3865.0,Office Expenses,3782.0900000000006,Media & Ads,2182.5,Campaign Signs & Paraphernalia,2091.64
1056,VA,Clinton L. Jenkins,State House,76,534740.27,Sage Media Planning & Placement,395921.72,Virginia House Democratic Caucus,60080.0,Adams Outdoor Advertizing,14425.0,Major Signs,8629.2,Derek McDonald,6707.0,Cynthia Downs,6200.0,Best Buy,5972.13,N & N Land Co,4400.0,Boogie's Soul Food,3059.0,Audrey Ryan,3000.0,Media & Ads,410218.1,Political Funds & Groups,60080.0,General Operations & Supplies,14628.58,Campaign Signs & Paraphernalia,9981.34,Salary & Payroll,6200.0,Software & Technology,6071.13,Contribution & Donation,5461.72,Canvassing & Field Work,5166.0,Office Expenses,4585.0,Meals & Catering,3159.0
1057,VA,M. Keith Hodges,State House,98,41053.53,Colonial Leadership Trust,30000.0,Consociate Media,4000.0,Waterview Properties,1173.88,Friends Of David Yancey,1000.0,Rodney Hazlewood,1000.0,Enterprise,990.0,BB&T Merchant Services,909.36,McNamara For Delegate,500.0,Middlesex County Republican Committee (Virginia),500.0,BB&T Bank/Truist,438.25,Contribution & Donation,31500.0,Media & Ads,4000.0,Office Expenses,1173.88,Campaign Consulting,1000.0,Travel & Lodging,990.0,Credit Card Processing Fees,909.36,Event Expenses,635.0,Credit Card Payment & Bank Fees,438.25,Meals & Catering,263.04,Campaign Signs & Paraphernalia,74.0
1058,VA,Stephen E. Heretick,State House,79,48410.55,Strategic Political Resources,12688.97,House Democratic Caucus (Virginia),10000.0,Virginia Treasurer Of,6414.73,Joseph Waymack,3562.56,BB&T Bank/Truist,3205.52,Ryan Pokorny,2796.63,Robert Bradshaw,1845.0,Commonwealth Victory Fund,1400.0,Rotary Club Of Portsmouth,1250.0,Elaine For Congress,1001.0,Contribution & Donation,11792.09,Digital Advertising,7893.97,Salary & Payroll,7801.129999999999,Shipping & Postage,6414.73,Canvassing & Field Work,4500.0,Credit Card Payment & Bank Fees,3265.52,Political Funds & Groups,1679.73,Event Expenses,1480.0,Meals & Catering,1055.9,Printing,741.0
1059,VA,Sally L. Hudson,State House,57,228754.83,Moore Campaigns,50893.0,Khadijah Naeem,21118.9,Ian McNally,16462.29,Conor Emser,15000.0,Asana Create Strategy,10000.0,Jake McClelland,9750.0,Jake Gold,8500.0,Annaliese Estes,8125.0,Sarah Kenny,7000.0,Marlon Calliste,6500.0,Salary & Payroll,71409.08,Direct Mail,49164.0,Campaign Consulting,28850.0,Contribution & Donation,14250.92,Digital Advertising,11188.96,Software & Technology,8495.69,Media & Ads,6050.0,Printing,6036.889999999999,Office Expenses,5659.27,Campaign Signs & Paraphernalia,5280.81
1060,VA,Jeion A. Ward,State House,92,82835.20000000001,House Democratic Caucus (Virginia),33000.0,Embassy Suites Hampton,11598.1,Riverdale Management,5573.82,Cox Business,2674.31,Best Buy,2552.2700000000004,Brian Pinner,2000.0,Temple Sixth Mount Zion Baptist,1750.0,Jordan Krystel,1431.0,United States Postal Service/Postmaster (USPS),1364.63,Commonwealth Victory Fund,1178.67,Contribution & Donation,13630.249999999998,General Operations & Supplies,12241.06,Political Funds & Groups,11503.67,Office Expenses,9295.62,Printing,8600.35,Credit Card Payment & Bank Fees,5603.47,Event Expenses,5167.1,Meals & Catering,4323.4400000000005,Polling & Research,4250.0,Software & Technology,2552.2700000000004
1061,VA,Jeremy S. McPike,State Senate,29,194048.06,Virginia Senate Democratic Caucus,55000.0,Prince William Victory,42000.0,Democratic Party Of Virginia,13800.0,Bell For Senate,10000.0,Friends Of Ghazala Hashmi,10000.0,Friends Of Maggie Hansford,7400.0,Samuel Edwards,4200.0,Wheeler For Prince William County (Virginia),4000.0,Devon Cabot,3510.6,Denia Rauls,3123.0,Contribution & Donation,97200.0,Political Funds & Groups,69157.0,Campaign Consulting,7413.0,Meals & Catering,3969.64,General Operations & Supplies,2910.7200000000003,Travel & Lodging,2519.26,Software & Technology,2100.0,Shipping & Postage,1639.0,Canvassing & Field Work,1575.0,Office Expenses,1444.16
1062,VA,Amanda Freeman Chase,State Senate,11,275381.84,Republican Party Of Virginia,76500.0,Smart Media Group,44700.0,Lauren Fulcher,15806.36,Poolhouse Agency,15000.0,The Prosper Group,15000.0,Forest Consulting Services,10510.0,Creative Direct,9299.0,Pcs Marketing Group,6235.47,Chesterfield Observer,5475.0,FP1 Digital,5000.0,Political Funds & Groups,76575.0,Media & Ads,68275.66,Campaign Consulting,26948.57,Digital & Social Media Consulting,15000.0,Event Expenses,13129.86,Printing,11841.61,Accounting & Financial Management,10510.0,General Operations & Supplies,7834.559999999999,Software & Technology,6679.9800000000005,"PR, Communications, & Marketing",6235.47
1063,VA,Angelia Williams Graves,State House,90,0.0,No ranked payee found,0.0,No ranked payee found,0.0,No ranked payee found,0.0,No ranked payee found,0.0,No ranked payee found,0.0,No ranked payee found,0.0,No ranked payee found,0.0,No ranked payee found,0.0,No ranked payee found,0.0,No ranked payee found,0.0,No ranked category found,0.0,No ranked category found,0.0,No ranked category found,0.0,No ranked category found,0.0,No ranked category found,0.0,No ranked category found,0.0,No ranked category found,0.0,No ranked category found,0.0,No ranked category found,0.0,No ranked category found,0.0
1064,VA,Emily M. Brewer,State House,64,60387.64000000001,Tidewater Campaign Consulting,18500.0,Republican Party Of Virginia,13800.0,Run And Win,3351.0,319 Main,2940.0,Facebook,2591.06,Colonial Leadership Trust PAC,2000.0,Q'Daddy's Bbq,1606.23,Michael Young,1500.0,United States Postal Service/Postmaster (USPS),1175.74,Virginia Federation Of Republican Women,850.0,Campaign Consulting,20065.0,Political Funds & Groups,13800.0,Contribution & Donation,4200.0,Office Expenses,4120.429999999999,Campaign Signs & Paraphernalia,3816.59,Meals & Catering,3324.73,Digital Advertising,2591.06,General Operations & Supplies,1640.06,Event Expenses,1500.97,Shipping & Postage,1175.74
1065,VA,Richard H. Stuart,State Senate,28,381048.56,Pinpoint Media,116685.0,Republican Party Of Virginia,57100.0,Public Opinion Strategies,28000.0,Mwpolitical,25000.0,Chatham Light Media,23750.0,Rhumbline,21000.0,Virginia Senate Republican Caucus,16943.120000000003,Cooper Mohr,16387.52,Targeted Creative Communications,11296.0,Virginia Commonwealth Bank,10315.109999999995,Media & Ads,140535.0,Political Funds & Groups,74043.12,Salary & Payroll,33167.09,Polling & Research,28000.0,Canvassing & Field Work,25000.0,Campaign Consulting,24000.0,"PR, Communications, & Marketing",19796.0,Office Expenses,8993.1,Credit Card Payment & Bank Fees,8386.089999999998,Contribution & Donation,5200.0
1066,VA,Mark J. Peake,State Senate,22,116261.34,Republican Party Of Virginia,37000.0,Virginia Senate Republican Caucus,16730.59,The Prosper Group,10996.99,Mark Peake,7249.040000000001,Rebel Strategies,5000.0,Monumental Consulting,4258.3,Remington Research Group,3500.0,Teletown Hall Services,2908.18,Friends Of Siobhan Dunnavant,2600.0,Friends Of Glen Sturtevant,2500.0,Political Funds & Groups,53730.59,Digital & Social Media Consulting,10996.99,Contribution & Donation,10675.0,Campaign Consulting,9058.3,General Operations & Supplies,4446.84,Polling & Research,4060.0,Travel & Lodging,3937.44,Fuel & Gas,3677.72,Fundraising & Fundraising Consulting,3075.0,Meals & Catering,2977.28
1067,VA,Mark D. Sickles,State House,43,241807.78,House Democratic Caucus (Virginia),177500.0,Chadderdon Lestingi Creative Services,8028.639999999999,Willett For Delegate,5525.0,Friends Of Larry Barnett,4525.0,NGP VAN,3750.0,Friends Of Debra Rodman,3525.0,Mark Sickles,3504.9299999999994,James Heo,2811.29,Ayala For Delegate,2500.0,Ilana Creinin,2353.5800000000004,Contribution & Donation,184393.82,Political Funds & Groups,29100.0,Direct Mail,8028.639999999999,Software & Technology,3750.0,Campaign Consulting,3622.9,Meals & Catering,3159.64,Reimbursement,2913.73,General Operations & Supplies,1714.29,Office Expenses,1115.1,Media & Ads,1035.68
1068,VA,Dave A. Larock,State House,33,85691.09,Republican Party Of Virginia,47295.49,Colonial Leadership Trust PAC,5000.0,Virginia Treasurer Of,2742.56,A2Z Printing,2350.0400000000004,Ellie Fischer,2102.5,Dominion Leadership Trust,2000.0,Gotprint,1775.87,United States Postal Service/Postmaster (USPS),1615.82,Icontact,1577.0,Citi,1315.2199999999998,Political Funds & Groups,47995.49,Contribution & Donation,7800.0,Salary & Payroll,5853.2,Printing,4471.4,General Operations & Supplies,3544.19,Direct Mail,2742.56,Travel & Lodging,2338.95,Shipping & Postage,1615.82,Credit Card Payment & Bank Fees,1288.09,Meals & Catering,1219.4
1069,VA,James A. Leftwich,State House,78,82952.06,Colonial Leadership Trust PAC,30500.0,Virginia Treasurer Of,7884.53,American Express (Amex),6862.04,Chesapeake Rotary,2935.0,Republican Party Of Chesapeake (Virginia),2860.0,Her Shelter,2500.0,Karen Papasodora-Cochrane,2255.81,Friends Of David Yancey,2000.0,Friends Of Rich Anderson,2000.0,Tele Video Productions,2000.0,Contribution & Donation,45890.64,Shipping & Postage,7977.53,Credit Card Processing Fees,6862.04,Event Expenses,5245.700000000001,Media & Ads,2823.24,General Operations & Supplies,2681.7200000000003,Printing,2546.6,Office Expenses,2285.32,Meals & Catering,2145.93,Salary & Payroll,1045.14
1070,VA,Ibraheem S. Samirah,State House,86,97792.64,Moxie Medi,27645.0,Switch Communications & Media,15700.28,Francesca Lucia,9500.0,Asap Printing And Graphics,8698.74,Sb Digital,5500.0,Evan Toorma-Rookley,3213.71,Austin Hall,2500.0,Cameron McClimmans,2500.0,Upwork,2080.0,Fairfax County Democratic Committee (Virginia),1760.0,Direct Mail,27645.0,Salary & Payroll,21004.57,"PR, Communications, & Marketing",15700.28,Printing,9998.74,Media & Ads,5560.0,General Operations & Supplies,4759.27,Canvassing & Field Work,2505.0,Contribution & Donation,1925.0,Campaign Consulting,1620.0,Office Expenses,1419.22
1071,VA,Thomas C. Wright,State House,61,0.0,No ranked payee found,0.0,No ranked payee found,0.0,No ranked payee found,0.0,No ranked payee found,0.0,No ranked payee found,0.0,No ranked payee found,0.0,No ranked payee found,0.0,No ranked payee found,0.0,No ranked payee found,0.0,No ranked payee found,0.0,No ranked category found,0.0,No ranked category found,0.0,No ranked category found,0.0,No ranked category found,0.0,No ranked category found,0.0,No ranked category found,0.0,No ranked category found,0.0,No ranked category found,0.0,No ranked category found,0.0,No ranked category found,0.0
1072,VA,Chris L. Hurst,State House,12,311578.66000000003,House Democratic Caucus (Virginia),143149.0,North Main Blacksburg,17500.0,NGP VAN,14720.0,Michelle Moffit,10131.92,Emily Yee,8242.349999999999,Internal Revenue Service (IRS),7746.139999999999,Moore Campaigns,6735.0,Hazel Bea Catering,6334.0,Sadie Gary,6006.38,Democratic Party Of Virginia,5739.0,Canvassing & Field Work,90800.0,Contribution & Donation,73399.0,Salary & Payroll,24206.27,Office Expenses,19676.67,Software & Technology,15415.93,Travel & Lodging,14785.03,Meals & Catering,10990.659999999998,Taxes,8809.87,Media & Ads,7467.469999999999,Political Funds & Groups,6939.0
1073,VA,Joshua G. Cole,State House,28,439571.35,Buying Time,196961.4,Virginia House Democratic Caucus,149700.0,Democratic Party Of Virginia,16595.760000000002,Chadderdon Lestingi Creative Strategies,12933.0,Lake Research Partners,9638.2,James Conway,8883.5,Gibson Print,7073.77,Shofur,6250.0,ActBlue,5797.69,Facebook,4702.25,Media & Ads,206301.4,Political Funds & Groups,166295.76,Salary & Payroll,11330.0,Printing,10278.8,Digital Advertising,9702.25,Canvassing & Field Work,7928.0,Campaign Signs & Paraphernalia,7735.22,Credit Card Processing Fees,5797.69,Office Expenses,4598.96,Campaign Consulting,3308.0
1074,VA,Leslie R. Adams,State House,16,46225.17999999999,Colonial Leadership Trust PAC,8000.0,Enterprise,7200.0,Lynchpin Connections,2791.23,Friends Of S Chris Jones,2500.0,Les Adams,2303.1600000000003,Pip Printing,1992.88,Hd Web Studio,1745.78,Shannon Shorter,1696.6899999999998,Professional Network Services,1558.53,Election CFO,1509.5,Travel & Lodging,10859.510000000002,Contribution & Donation,10216.25,Printing,3680.76,Fuel & Gas,3254.6400000000003,Event Expenses,2915.02,General Operations & Supplies,2879.44,Fundraising & Fundraising Consulting,2791.23,Media & Ads,2784.21,Compliance Services,1509.5,Shipping & Postage,1277.64
1075,VA,Robert B. Bell,State House,58,439312.23,Colonial Leadership Trust PAC,210500.0,Republican Party Of Virginia,53000.0,Taylor Stanley,34636.36,The Art Of Message,22000.0,The Carlyle Gregory Company,12862.4,Meeting Street Research,8500.0,Nationbuilder,7955.0,Towers Limited Partnership,7684.0,Executive Press,7334.3,United States Postal Service/Postmaster (USPS),7173.0,Contribution & Donation,216750.0,Political Funds & Groups,54537.3,Campaign Consulting,53752.86,Media & Ads,30984.81,Travel & Lodging,16922.88,Office Expenses,9528.51,Software & Technology,8654.8,Polling & Research,8500.0,Shipping & Postage,8433.2,General Operations & Supplies,7331.139999999999
1076,VA,Marvin Kirkland Cox,State House,66,1144668.6,Flexpoint Media,589730.0,Prime Media Partners,62310.0,Creative Direct,55538.05,Colonial Leadership Trust PAC,50000.0,Republican Party Of Virginia,50000.0,Critical Mass Digital Media,48705.0,Friends Of Bob Thomas,31200.0,McLaughlin & Associates,28175.0,Zachary Wood,14559.8,United States Postal Service/Postmaster (USPS),14347.17,Media & Ads,711974.91,Contribution & Donation,106175.0,Printing,56527.80999999999,Political Funds & Groups,50000.0,Polling & Research,28175.0,General Operations & Supplies,24681.2,Meals & Catering,22469.33,Shipping & Postage,21337.69,Campaign Consulting,19525.0,Office Expenses,17318.039999999997
1077,VA,Richard Lawrence Saslaw,State Senate,35,1003139.64,Virginia Senate Democratic Caucus (Virginia),421750.0,Deliver Strategies,201471.21,AL Media (Adelstein Liston),110685.0,Compete Digital,52400.0,Janet Muldoon,30626.74,Joe Schilling,23238.36,Reiw Consulting,18064.2,Democratic Party Of Virginia (Virginia),15500.0,Frederickpolls,15000.0,Fairfax County Democratic Committee (Virginia),12484.0,Political Funds & Groups,454934.0,Campaign Consulting,243985.41,Media & Ads,163746.53,General Operations & Supplies,34143.31,"PR, Communications, & Marketing",32009.83,Printing,17076.289999999997,Meals & Catering,15481.23,Polling & Research,15000.0,Fundraising & Fundraising Consulting,10524.38,Campaign Signs & Paraphernalia,3314.94
1078,VA,Wendell S. Walker,State House,23,53183.130000000005,Republican Party Of Virginia,12700.0,Skye Riggleman,8790.01,Creative Direct,8548.0,Michael Young,5000.0,WPA Intelligence (WPAI),5000.0,The Printing Express,4495.9,Printworks,2683.82,Peakland Catering Company,1289.12,Rst Marketing,1265.35,Laura Bell Consulting,1000.0,Political Funds & Groups,12700.0,General Operations & Supplies,9628.98,"PR, Communications, & Marketing",5539.35,Campaign Consulting,5000.0,Digital Advertising,5000.0,Direct Mail,4274.0,Media & Ads,4140.110000000001,Travel & Lodging,2750.03,Meals & Catering,1289.12,Event Expenses,1078.98
1079,VA,Martha M. Mugler,State House,91,209868.52,Virginia House Democratic Caucus,137000.0,Buying Time,30000.0,Laura Bell Consulting,6268.29,Josh Lorah,5776.0,Facebook,5495.78,Capitol Promotions,4085.0,Ted Sorrell,3840.0,Theodore Sorrell,3840.0,Resonance Campaigns,3350.0,Democratic Research Institute,2500.0,Political Funds & Groups,139500.0,Media & Ads,32269.68,Salary & Payroll,13482.0,Taxes,6039.49,Digital Advertising,5615.78,Campaign Signs & Paraphernalia,5310.0,General Operations & Supplies,4262.34,Credit Card Processing Fees,1504.5600000000002,Software & Technology,940.0,Contribution & Donation,250.0
1080,VA,Jennifer Barton Boysko,State Senate,33,533745.68,Democratic Party Of Virginia,253563.05,Senate Democratic Caucus (Virginia),59125.0,Gumbinner & Davies,41824.0,Hart Research Associates,29000.0,Left Hook,28500.0,Impact Politics,25000.0,Chandler Wiggins,19025.0,Cierra Reimche,12250.0,Revpac,9010.88,Direct Connect,8565.1,Political Funds & Groups,257063.05,Campaign Consulting,68555.13,Canvassing & Field Work,48565.55,Direct Mail,41824.0,Polling & Research,29000.0,Digital & Social Media Consulting,25000.0,Contribution & Donation,21000.0,Credit Card Processing Fees,12053.22,Office Expenses,10312.57,Campaign Signs & Paraphernalia,6240.0
1081,VA,Scott A. Wyatt,State House,97,54628.33,Tanner Bonovitch,13700.0,Campaign Marketing Startegies,9573.9,Republican Party Of Virginia,7000.0,Victorystore,4076.24,Christopher Shores,3000.0,Friends Of Scott Wyatt,2864.46,Copy Cat Printing,2555.4700000000003,Comcast,2157.99,United States Postal Service/Postmaster (USPS),1807.0,Minuteman Press,1805.78,Campaign Consulting,16500.0,"PR, Communications, & Marketing",9573.9,Political Funds & Groups,7250.0,General Operations & Supplies,3432.56,Contribution & Donation,2864.46,Printing,2673.76,Utilities,2157.99,Media & Ads,2132.63,Shipping & Postage,1807.0,Campaign Signs & Paraphernalia,1748.94
1082,VA,James W. Morefield,State House,3,54681.41,Martha Washington Inn,9251.59,Cedar Hill Properties,5500.0,American Express (Amex),5211.25,Friends Of Tim Hugo,5000.0,Vance Graphics,3138.92,Verizon,2928.32,Patty Adams,2395.0,Craig Smith,1600.0,The Homestead,1475.74,War Room Strategies,1377.87,Contribution & Donation,12000.0,Travel & Lodging,9832.82,Office Expenses,8328.7,Credit Card Processing Fees,5211.25,Meals & Catering,5149.75,Campaign Signs & Paraphernalia,3212.92,Utilities,2928.32,General Operations & Supplies,1977.92,Event Expenses,1600.0,Campaign Consulting,1377.87
1083,VA,Shelly A. Simonds,State House,94,601600.9900000001,Buying Time,334840.0,Virginia House Democratic Caucus,131545.01,Cdb Political,36148.4,Prism Communications,14126.0,Switchboard Digital,11699.1,Paychex,11260.81,Erin Bozek-Jarvis,11126.28,Resonance Campaigns,9615.0,Katelyn Rademacher,9297.94,ActBlue,7790.29,Media & Ads,335053.21,Political Funds & Groups,131880.01,Digital Advertising,47949.58,Salary & Payroll,31456.96,"PR, Communications, & Marketing",14126.0,General Operations & Supplies,11300.11,Credit Card Processing Fees,8687.490000000002,Campaign Consulting,3650.0,Software & Technology,3292.79,Office Expenses,2604.65
1084,VA,Jill Holtzman Vogel,State Senate,27,280554.03,Virginia Senate Republican Caucus,93750.0,Strategic Partners & Media,81420.0,Creative Direct,42660.0,Canon Cochren,14093.81,Piedmont Press,11388.43,Loxodrone Consulting,6000.0,Piedmont Media,4848.0,Cluster Communications,4020.0,Verizon,3218.11,David Holliday,3000.0,Media & Ads,99519.93,Political Funds & Groups,93800.0,Direct Mail,39490.0,General Operations & Supplies,17885.48,Campaign Consulting,6000.0,Office Expenses,4071.19,"PR, Communications, & Marketing",4020.0,Utilities,3218.11,Campaign Signs & Paraphernalia,3170.0,Event Expenses,2955.0
