STATE,NAME,ASSOCIATED QUERY,OFFICE,DISTRICT,ELECTION YEAR
GA,WILLIAM YEARTA,FRIENDS OF WILLIAM J. YEARTA,STATE HOUSE,152,2020.0
HI,LAURA ACASIO,NOT FOUND,STATE SENATE,1,
HI,HENRY J. C. AQUINO,"AQUINO, HENRY",STATE HOUSE,38,2020.0
HI,ROSALYN H. BAKER,"BAKER, ROSALYN",STATE SENATE,6,2018.0
HI,DELLA AU BELATTI,"BELATTI, DELLA",STATE HOUSE,24,2020.0
HI,PATRICK PIHANA BRANCO,"BRANCO, PATRICK",STATE HOUSE,50,2020.0
HI,STANLEY CHANG,"CHANG, STANLEY",STATE SENATE,9,2020.0
HI,TY J. K. CULLEN,"CULLEN, TY",STATE HOUSE,39,2020.0
HI,LYNN P. DECOITE,"DECOITE, LYNN",STATE HOUSE,13,2020.0
HI,DONOVAN M. DELA CRUZ,"DELA CRUZ, DONOVAN",STATE SENATE,22,2020.0
HI,STACELYNN KEHAULANI ELI,"ELI, STACELYNN",STATE HOUSE,43,2020.0
HI,KURT FEVELLA,"FEVELLA, KURT",STATE SENATE,19,2020.0
HI,GERALD M. GABBARD,"GABBARD, MIKE",STATE SENATE,20,2020.0
HI,ERNESTO M. GANADEN,"GANADEN, ERNESTO",STATE HOUSE,30,2020.0
HI,CEDRIC SOLOSOLO ASUEGA GATES,"GATES, CEDRIC",STATE HOUSE,44,2020.0
HI,JOSHUA BOOTH GREEN,"GREEN, JOSH",LIEUTENANT GOVERNOR,,2018.0
HI,SHARON E. HAR,"HAR, SHARON",STATE HOUSE,42,2020.0
HI,MARK JUN HASHEM,"HASHEM, MARK",STATE HOUSE,18,2020.0
HI,TROY N. HASHIMOTO,"HASHIMOTO, TROY",STATE HOUSE,8,2020.0
HI,DANIEL HOLT,"HOLT, DANIEL",STATE HOUSE,29,2020.0
HI,LINDA E. ICHIYAMA,"ICHIYAMA, LINDA",STATE HOUSE,32,2020.0
HI,DAVID YUTAKA IGE,"IGE, DAVID",GOVERNOR,,2018.0
HI,LES S. IHARA,"IHARA, LES",STATE SENATE,10,2020.0
HI,GREGGOR P. ILAGAN,"ILAGAN, GREGGOR",STATE HOUSE,4,2020.0
HI,LORRAINE RODERO INOUYE,"INOUYE, LORRAINE",STATE SENATE,4,2018.0
HI,AARON LING JOHANSON,"JOHANSON, AARON",STATE HOUSE,31,2020.0
HI,DRU MAMO KANUHA,"KANUHA, DRU",STATE SENATE,3,2018.0
HI,JEANNÉ KAPELA,"KAPELA, JEANNE",STATE HOUSE,5,2020.0
HI,GILBERT SC KEITH-AGARAN,"KEITH-AGARAN, GILBERT",STATE SENATE,5,2020.0
HI,JARRETT K. KEOHOKALOLE,"KEOHOKALOLE, JARRETT",STATE SENATE,24,2018.0
HI,MICHELLE KIDANI,"KIDANI, MICHELLE",STATE SENATE,18,2018.0
HI,DONNA MERCADO KIM,"KIM, DONNA",STATE SENATE,14,2020.0
HI,LISA C. KITAGAWA,"KITAGAWA, LISA",STATE HOUSE,48,2020.0
HI,BERTRAND KOBAYASHI,"KOBAYASHI, BERTRAND",STATE HOUSE,19,2020.0
HI,DALE T. KOBAYASHI,"KOBAYASHI, DALE",STATE HOUSE,23,2020.0
HI,SAM SATORU KONG,"KONG, SAMUEL",STATE HOUSE,33,2020.0
HI,RONALD D. KOUCHI,"KOUCHI, RON",STATE SENATE,8,2020.0
HI,CHRIS KALANI LEE,"LEE, CHRISTOPHER",STATE SENATE,25,2020.0
HI,MATTHEW S. LOPRESTI,"LOPRESTI, MATTHEW",STATE HOUSE,41,2020.0
HI,NICOLE E. LOWEN,"LOWEN, NICOLE",STATE HOUSE,6,2020.0
HI,SYLVIA J. LUKE,"LUKE, SYLVIA",STATE HOUSE,25,2020.0
HI,LISA MARTEN,"MARTEN, LISA",STATE HOUSE,51,2020.0
HI,SCOT Z. MATAYOSHI,"MATAYOSHI, SCOT",STATE HOUSE,49,2020.0
HI,LAUREN KEALOHILANI CHEAPE MATSUMOTO,"MATSUMOTO, LAUREN",STATE HOUSE,45,2020.0
HI,ROBERT CHARLES MCDERMOTT,"MCDERMOTT, BOB",STATE HOUSE,40,2020.0
HI,ANGUS LK MCKELVEY,"MCKELVEY, ANGUS",STATE HOUSE,10,2020.0
HI,BENNETTE MISALUCHA,"MISALUCHA, BENNETTE",STATE SENATE,16,2020.0
HI,JOHN M. MIZUNO,"MIZUNO, JOHN",STATE HOUSE,28,2020.0
HI,DAYNETTE MORIKAWA,"MORIKAWA, DAYNETTE",STATE HOUSE,16,2020.0
HI,SHARON Y. MORIWAKI,"MORIWAKI, SHARON",STATE SENATE,12,2018.0
HI,NADINE K. NAKAMURA,"NAKAMURA, NADINE",STATE HOUSE,14,2020.0
HI,MARK M. NAKASHIMA,"NAKASHIMA, MARK",STATE HOUSE,1,2020.0
HI,CLARENCE K. NISHIHARA,"NISHIHARA, CLARENCE",STATE SENATE,17,2018.0
HI,SCOTT Y. NISHIMOTO,"NISHIMOTO, SCOTT",STATE HOUSE,21,2020.0
HI,TAKASHI OHNO,"OHNO, TAKASHI",STATE HOUSE,27,2020.0
HI,VAL OKIMOTO,"OKIMOTO, VAL",STATE HOUSE,36,2020.0
HI,RICHARD HIROYUKI KEALA ONISHI,"ONISHI, RICHARD",STATE HOUSE,3,2020.0
HI,AMY ANASTASIA PERRUSO,"PERRUSO, AMY",STATE HOUSE,46,2020.0
HI,SEAN ANTHONY QUINLAN,"QUINLAN, SEAN",STATE HOUSE,47,2020.0
HI,KARL A. RHOADS,"RHOADS, KARL",STATE SENATE,13,2020.0
HI,GIL RIVIERE,"RIVIERE, GIL",STATE SENATE,23,2018.0
HI,SCOTT K. SAIKI,"SAIKI, SCOTT",STATE HOUSE,26,2020.0
HI,JOY A. SAN BUENAVENTURA,"SAN BUENAVENTURA, JOY",STATE SENATE,2,2020.0
HI,JACKSON SAYAMA,"SAYAMA, JACKSON",STATE HOUSE,20,2020.0
HI,MAILE S. L. SHIMABUKURO,"SHIMABUKURO, MAILE",STATE SENATE,21,2018.0
HI,GREGG TAKAYAMA,"TAKAYAMA, GREGG",STATE HOUSE,34,2020.0
HI,ROY M. TAKUMI,"TAKUMI, ROY",STATE HOUSE,35,2020.0
HI,ADRIAN TAM,"TAM, ADRIAN",STATE HOUSE,22,2020.0
HI,BRIAN T. TANIGUCHI,"TANIGUCHI, BRIAN",STATE SENATE,11,2020.0
HI,DAVID ANTHONY TARNAS,"TARNAS, DAVID",STATE HOUSE,7,2020.0
HI,CHRISTOPHER TODD,"TODD, CHRISTOPHER",STATE HOUSE,2,2020.0
HI,JAMES KUNANE TOKIOKA,"TOKIOKA, JAMES",STATE HOUSE,15,2020.0
HI,GLENN S. WAKAI,"WAKAI, GLENN",STATE SENATE,15,2020.0
HI,GENE R. WARD,"WARD, GENE",STATE HOUSE,17,2020.0
HI,TINA ML WILDBERGER,"WILDBERGER, TINA",STATE HOUSE,11,2020.0
HI,JUSTIN H. WOODSON,"WOODSON, JUSTIN",STATE HOUSE,9,2020.0
HI,RYAN I. YAMANE,"YAMANE, RYAN",STATE HOUSE,37,2020.0
HI,KYLE T. YAMASHITA,"YAMASHITA, KYLE",STATE HOUSE,12,2020.0
ID,BEN ADAMS,BENJAMIN ADAMS,STATE HOUSE,13B,2020.0
ID,JAMES ADDIS,JIM ADDIS,STATE HOUSE,4A,2020.0
ID,JEFF C. AGENBROAD,JEFF AGENBROAD,STATE SENATE,13,2020.0
ID,PAUL AMADOR,PAUL AMADOR,STATE HOUSE,4B,2020.0
ID,KEVIN ANDRUS,KEVIN ANDRUS,STATE HOUSE,28B,2020.0
ID,KELLY ARTHUR ANTHON,KELLY ANTHON,STATE SENATE,27,2020.0
ID,RANDY ARMSTRONG,RANDALL ARMSTRONG,STATE HOUSE,28A,2020.0
ID,R. STEVEN BAIR,RONALD BAIR,STATE SENATE,31,2020.0
ID,VITO BARBIERI,VITO BARBIERI,STATE HOUSE,2A,2020.0
ID,REGINA M. BAYER,REGINA BAYER,STATE SENATE,21,2020.0
ID,SCOTT C. BEDKE,SCOTT BEDKE,STATE HOUSE,27A,2020.0
ID,STEVE BERCH,STEVE BERCH,STATE HOUSE,15A,2020.0
ID,MEGAN C. BLANKSMA,MEGAN BLANKSMA,STATE HOUSE,23B,2020.0
ID,JUDY BOYLE,JUDY BOYLE,STATE HOUSE,9B,2020.0
ID,MATTHEW BUNDY,MATTHEW BUNDY,STATE HOUSE,23A,2020.0
ID,GRANT T. BURGOYNE,GRANT BURGOYNE,STATE SENATE,16,2020.0
ID,VAN T. BURTENSHAW,VAN BURTENSHAW,STATE SENATE,35,2020.0
ID,DAVID M. CANNON,DAVID CANNON,STATE HOUSE,31A,2020.0
ID,GREGORY D. CHANEY,GREGORY CHANEY,STATE HOUSE,10B,2020.0
ID,SUSAN B. CHEW,SUE CHEW,STATE HOUSE,17B,2020.0
ID,CHAD CHRISTENSEN,CHAD CHRISTENSEN,STATE HOUSE,32B,2020.0
ID,LANCE CLOW,LANCE CLOW,STATE HOUSE,24A,2020.0
ID,KEVIN COOK,KEVIN COOK,STATE SENATE,30,2020.0
ID,CARL G. CRABTREE,CARL CRABTREE,STATE SENATE,7,2020.0
ID,BRENT J. CRANE,BRENT CRANE,STATE HOUSE,13A,2020.0
ID,MUFFY DAVIS,MARIANNA DAVIS,STATE HOUSE,26A,2020.0
ID,GAYANN DEMORDAUNT,GAYANN DEMORDAUNT,STATE HOUSE,14B,2020.0
ID,LORI DEN HARTOG,LORI DEN HARTOG,STATE SENATE,22,2020.0
ID,SAGE G. DIXON,SAGE DIXON,STATE HOUSE,1B,2020.0
ID,BARBARA DEE EHARDT,BARBARA EHARDT,STATE HOUSE,33A,2020.0
ID,MARCO ERICKSON,MARCO ERICKSON,STATE HOUSE,33B,2020.0
ID,GREGORY E. FERCH,GREGORY FERCH,STATE HOUSE,21B,2020.0
ID,ROD FURNISS,RODNEY FURNISS,STATE HOUSE,35B,2020.0
ID,CODI GALLOWAY,CODI GALLOWAY,STATE HOUSE,15B,2020.0
ID,JOHN GANNON,JOHN GANNON,STATE HOUSE,17A,2020.0
ID,TERRY F. GESTRIN,TERRY GESTRIN,STATE HOUSE,8A,2020.0
ID,MARC GIBBS,MARCUS J GIBBS,STATE HOUSE,32A,2020.0
ID,PRISCILLA GIDDINGS,PRISCILLA GIDDINGS,STATE HOUSE,7A,2020.0
ID,BROOKE GREEN,BROOKE GREEN,STATE HOUSE,18B,2020.0
ID,C. SCOTT GROW,CECIL GROW,STATE SENATE,14,2020.0
ID,JIM GUTHRIE,JIM GUTHRIE,STATE SENATE,28,2020.0
ID,KAREY HANKS,KAREY HANKS,STATE HOUSE,35A,2020.0
ID,STEVEN C. HARRIS,STEVEN HARRIS,STATE HOUSE,21A,2020.0
ID,MARK HARRIS,MARK HARRIS,STATE SENATE,32,2020.0
ID,LINDA WRIGHT HARTGEN,LINDA HARTGEN,STATE HOUSE,24B,2020.0
ID,LEE HEIDER,LEE HEIDER,STATE SENATE,24,2020.0
ID,JAMES HOLTZCLAW,JAMES HOLTZCLAW,STATE HOUSE,20B,2020.0
ID,WENDY HORMAN,WENDY HORMAN,STATE HOUSE,30B,2020.0
ID,DANIEL G. JOHNSON,DANIEL JOHNSON,STATE SENATE,6,2020.0
ID,CLARK KAUFFMAN,CLARK KAUFFMAN,STATE HOUSE,25B,2020.0
ID,RYAN KERBY,RYAN KERBY,STATE HOUSE,9A,2020.0
ID,MIKE KINGSLEY,NOT FOUND,STATE HOUSE,6B,2020.0
ID,TODD M. LAKEY,TODD LAKEY,STATE SENATE,12,2020.0
ID,ABBY LEE,ABBY LEE,STATE SENATE,9,2020.0
ID,DAVE LENT,DAVE LENT,STATE SENATE,33,2020.0
ID,LAURIE LICKLEY,LAURIE LICKLEY,STATE HOUSE,25A,2020.0
ID,BRAD LITTLE,BRAD LITTLE,GOVERNOR,,2018.0
ID,PATTI ANNE LODGE,PATTI ANNE LODGE,STATE SENATE,11,2020.0
ID,DUSTIN WHITNEY MANWARING,DUSTIN MANWARING,STATE HOUSE,29A,2020.0
ID,GARY L. MARSHALL,GARY MARSHALL,STATE HOUSE,30A,2020.0
ID,FRED S. MARTIN,FRED MARTIN,STATE SENATE,15,2020.0
ID,CHRIS MATHIAS,CHRIS MATHIAS,STATE HOUSE,19B,2020.0
ID,JOHN A. MCCROSTIE,JOHN MCCROSTIE,STATE HOUSE,16A,2020.0
ID,JANICE K. MCGEACHIN,JANICE MCGEACHIN,LIEUTENANT GOVERNOR,,2018.0
ID,RON J. MENDIVE,RONALD MENDIVE,STATE HOUSE,3A,2020.0
ID,BRANDON MITCHELL,BRANDON MITCHELL,STATE HOUSE,5A,2020.0
ID,JASON A. MONKS,JASON MONKS,STATE HOUSE,22B,2020.0
ID,DOROTHY MOON,DOROTHY MOON,STATE HOUSE,8B,2020.0
ID,MIKE MOYLE,MIKE MOYLE,STATE HOUSE,14A,2020.0
ID,COLIN NASH,COLIN NASH,STATE HOUSE,16B,2020.0
ID,RONALD M. NATE,RONALD NATE,STATE HOUSE,34B,2020.0
ID,LAUREN NECOCHEA,LAUREN NECOCHEA,STATE HOUSE,19A,2020.0
ID,DAVID NELSON,DAVID NELSON,STATE SENATE,5,2020.0
ID,TAMMY NICHOLS,TAMMY NICHOLS,STATE HOUSE,11B,2020.0
ID,MARK NYE,MARK NYE,STATE SENATE,29,2020.0
ID,DOUG OKUNIEWICZ,DOUG OKUNIEWICZ,STATE HOUSE,2B,2020.0
ID,JOE A. PALMER,JOE PALMER,STATE HOUSE,20A,2020.0
ID,JAMES PATRICK,JIM PATRICK,STATE SENATE,25,2020.0
ID,ALI RABE,ALI RABE,STATE SENATE,17,2020.0
ID,JIM RICE,JIM RICE,STATE SENATE,10,2020.0
ID,DOUG RICKS,DOUGLAS RICKS,STATE SENATE,34,2020.0
ID,PETER RIGGS,PETER RIGGS,STATE SENATE,3,2020.0
ID,ILANA RUBEL,ILANA RUBEL,STATE HOUSE,18A,2020.0
ID,JAMES DAW RUCHTI,JAMES RUCHTI,STATE HOUSE,29B,2020.0
ID,HEATHER SCOTT,HEATHER SCOTT,STATE HOUSE,1A,2020.0
ID,CHARLIE SHEPHERD,CHARLES SHEPHERD,STATE HOUSE,7B,2020.0
ID,BRUCE SKAUG,BRUCE SKAUG,STATE HOUSE,12A,2020.0
ID,MARY SOUZA,MARY SOUZA,STATE SENATE,4,2020.0
ID,MICHELLE STENNETT,MICHELLE STENNETT,STATE SENATE,26,2020.0
ID,SCOTT A. SYME,SCOTT SYME,STATE HOUSE,11A,2020.0
ID,STEVEN P. THAYN,STEVEN THAYN,STATE SENATE,8,2020.0
ID,SALLY J. TOONE,SALLY TOONE,STATE HOUSE,26B,2020.0
ID,CAROLINE NILSSON TROY,CAROLINE TROY,STATE HOUSE,5B,2020.0
ID,JOHN VANDER WOUDE,JOHN VANDERWOUDE,STATE HOUSE,22A,2020.0
ID,STEVEN J. VICK,STEVE VICK,STATE SENATE,2,2020.0
ID,JANIE WARD-ENGELKING,JANIE WARD-ENGELKING,STATE SENATE,18,2020.0
ID,JON O. WEBER,JON WEBER,STATE HOUSE,34A,2020.0
ID,CHUCK WINDER,CHUCK WINDER,STATE SENATE,20,2020.0
ID,MELISSA WINTROW,MELISSA WINTROW,STATE SENATE,19,2020.0
ID,TONY WISNIEWSKI,TONY WISNIEWSKI,STATE HOUSE,3B,2020.0
ID,FRED WOOD,FRED WOOD,STATE HOUSE,27B,2020.0
ID,JIM WOODWARD,JIM WOODWARD,STATE SENATE,1,2020.0
ID,JULIE YAMAMOTO,JULIE YAMAMOTO,STATE HOUSE,10A,2020.0
ID,JULIANNE YOUNG,JULIANNE YOUNG,STATE HOUSE,31B,2020.0
ID,RICK D. YOUNGBLOOD,RICK YOUNGBLOOD,STATE HOUSE,12B,2020.0
ID,CHRISTY ZITO,CHRISTY ZITO,STATE SENATE,23,2020.0
IL,CAROL AMMONS,FRIENDS OF CAROL AMMONS,STATE HOUSE,103,2020.0
IL,NEIL ANDERSON,ANDERSON FOR ILLINOIS,STATE SENATE,36,2018.0
IL,JAIME M. ANDRADE,FRIENDS OF JAIME M ANDRADE JR,STATE HOUSE,40,2020.0
IL,OMAR AQUINO,FRIENDS OF OMAR AQUINO,STATE SENATE,2,2018.0
IL,DAGMARA AVELAR,NOT FOUND,STATE HOUSE,85,2020.0
IL,DARREN BAILEY,BAILEY FOR ILLINOIS,STATE SENATE,55,2020.0
IL,JASON BARICKMAN,FRIENDS OF JASON BARICKMAN,STATE SENATE,53,2018.0
IL,MARK BATINICK,FRIENDS OF MARK BATINICK,STATE HOUSE,97,2020.0
IL,CHRISTOPHER BELT,FRIENDS OF CHRISTOPHER BELT,STATE SENATE,57,2018.0
IL,THOMAS M. BENNETT,FRIENDS OF TOM BENNETT,STATE HOUSE,106,2020.0
IL,SCOTT M. BENNETT,BENNETT FOR SENATE,STATE SENATE,52,2020.0
IL,CHRIS BOS,FRIENDS OF CHRIS BOS,STATE HOUSE,51,2020.0
IL,AVERY BOURNE,FRIENDS FOR AVERY BOURNE,STATE HOUSE,95,2020.0
IL,DANIEL P. BRADY,FRIENDS OF DANIEL BERRY,STATE HOUSE,105,2020.0
IL,TERRI BRYANT,COMMITTEE TO ELECT TERRI BRYANT,STATE SENATE,58,2020.0
IL,KAMBIUM BUCKNER,FRIENDS OF KAM BUCKNER,STATE HOUSE,26,2020.0
IL,KELLY M. BURKE,FRIENDS OF KELLY M BURKE,STATE HOUSE,36,2020.0
IL,MELINDA BUSH,FRIENDS OF MELINDA BUSH,STATE SENATE,31,2020.0
IL,TIM BUTLER,FRIENDS OF TIM BUTLER,STATE HOUSE,87,2020.0
IL,JONATHAN CARROLL,FRIENDS OF JONATHAN CARROLL,STATE HOUSE,57,2020.0
IL,KELLY M. CASSIDY,CITIZENS FOR CASSIDY,STATE HOUSE,14,2020.0
IL,CRISTINA CASTRO,CITIZENS FOR CASTRO,STATE SENATE,22,2020.0
IL,DAN CAULKINS,COMMITTEE TO ELECT DAN CAULKINS,STATE HOUSE,101,2020.0
IL,ANDREW S. CHESNEY,CHESNEY FOR ILLINOIS,STATE HOUSE,89,2020.0
IL,JACQUELINE Y. COLLINS,CITIZENS FOR JACQUELINE COLLINS,STATE SENATE,16,2020.0
IL,LAKESIA COLLINS,FRIENDS OF LAKESIA,STATE HOUSE,9,2020.0
IL,JOHN CONNOR,CITIZENS TO ELECT JOHN CONNOR,STATE SENATE,43,2020.0
IL,DEBORAH O'KEEFE CONROY,FRIENDS OF DEBORAH CONROY,STATE HOUSE,46,2020.0
IL,TERRA COSTA HOWARD,FRIENDS TO ELECT TERRA COSTA HOWARD,STATE HOUSE,48,2020.0
IL,FRED CRESPO,CITIZENS FOR FRED CRESPO,STATE HOUSE,44,2020.0
IL,MARGARET CROKE,CITIZENS TO ELECT MARY MARGARET BURKE,STATE HOUSE,12,2020.0
IL,RACHELLE AUD CROWE,NOT FOUND,STATE SENATE,56,2018.0
IL,THOMAS E. CULLERTON,FRIENDS OF TOM CULLERTON,STATE SENATE,23,2018.0
IL,WILLIAM CUNNINGHAM,FRIENDS OF BILL CUNNINGHAM,STATE SENATE,18,2018.0
IL,JOHN F. CURRAN,FRIENDS OF JOHN CURRAN,STATE SENATE,41,2018.0
IL,JOHN C. D'AMICO,FRIENDS OF JOHN C DAMICO,STATE HOUSE,15,2020.0
IL,CHRISTOPHER DAVIDSMEYER,CITIZENS FOR C D DAVIDSMEYER,STATE HOUSE,100,2020.0
IL,WILLIAM DAVIS,NOT FOUND,STATE HOUSE,30,2020.0
IL,EVA DINA DELGADO,FRIENDS FOR EVA DINA DELGADO,STATE HOUSE,3,2020.0
IL,ANTHONY DELUCA,FRIENDS FOR STATE REP ANTHONY DELUCA,STATE HOUSE,80,2020.0
IL,TOM DEMMER,NOT FOUND,STATE HOUSE,90,2020.0
IL,DONALD P. DEWITTE,DEWITTE FOR ILLINOIS SENATE,STATE SENATE,33,2018.0
IL,DANIEL DIDECH,DANIEL DIDECH CAMPAIGN COMMITTEE,STATE HOUSE,59,2020.0
IL,JAMES B. DURKIN,CITIZENS FOR DURKIN,STATE HOUSE,82,2020.0
IL,AMY ELIK,CITIZENS FOR AMY ELIK,STATE HOUSE,111,2020.0
IL,LAURA ELLMAN,ELLMAN FOR IL SENATE,STATE SENATE,21,2018.0
IL,MARCUS C. EVANS,CITIZENS FOR MARCUS C EVANS JR,STATE HOUSE,33,2020.0
IL,SARA FEIGENHOLTZ,CITIZENS FOR SARA FEIGENHOLTZ,STATE SENATE,6,2020.0
IL,LAURA FINE,FRIENDS OF LAURA FINE,STATE SENATE,9,2018.0
IL,MARY E. FLOWERS,FRIENDS OF MARY E FLOWERS,STATE HOUSE,31,2020.0
IL,LA SHAWN K. FORD,CITIZENS TO ELECT LASHAWN K FORD STATE REPRESENTATIVE,STATE HOUSE,8,2020.0
IL,DALE FOWLER,FRIENDS OF DALE FOWLER,STATE SENATE,59,2018.0
IL,RANDY E. FRESE,FRIENDS FOR RANDY FRESE,STATE HOUSE,94,2020.0
IL,DAVID FRIESS,CITIZENS FOR FRIESS,STATE HOUSE,116,2020.0
IL,ROBYN GABEL,FRIENDS OF ROBYN GABEL,STATE HOUSE,18,2020.0
IL,ANN GILLESPIE,CITIZENS FOR ANN GILLESPIE,STATE SENATE,27,2018.0
IL,SUZANNE GLOWIAK,FRIENDS OF SUZY GLOWIAK,STATE SENATE,24,2018.0
IL,JENNIFER GONG-GERSHOWITZ,FRIENDS FOR JENNIFER,STATE HOUSE,17,2020.0
IL,EDGAR GONZALEZ,FRIENDS OF EDGAR GONZALEZ JR,STATE HOUSE,21,2020.0
IL,JEHAN A. GORDON-BOOTH,FRIENDS OF JEHAN GORDON,STATE HOUSE,92,2020.0
IL,AMY L. GRANT,CITIZENS FOR AMY GRANT,STATE HOUSE,42,2020.0
IL,LATOYA N. GREENWOOD,FRIENDS OF LATOYA N GREENWOOD,STATE HOUSE,114,2020.0
IL,ANGELICA GUERRERO-CUELLAR,NOT FOUND,STATE HOUSE,22,
IL,WILL GUZZARDI,COMMITTEE TO ELECT WILL GUZZARDI,STATE HOUSE,39,2020.0
IL,JACKIE HAAS,CITIZENS FOR JACKIE HAAS,STATE HOUSE,79,2020.0
IL,BRAD HALBROOK,CITIZENS FOR BRAD HALBROOK,STATE HOUSE,102,2020.0
IL,MICHAEL W. HALPIN,FRIENDS OF MIKE HALPIN,STATE HOUSE,72,2020.0
IL,NORINE K. HAMMOND,CITIZENS FOR HAMMOND,STATE HOUSE,93,2020.0
IL,DON HARMON,FRIENDS OF DON HARMON FOR STATE SENATE,STATE SENATE,39,2018.0
IL,SONYA MARIE HARPER,FRIENDS OF SONYA MARIE HARPER,STATE HOUSE,6,2020.0
IL,GREGORY S. HARRIS,CITIZENS FOR GREGORY HARRIS,STATE HOUSE,13,2020.0
IL,NAPOLEON B. HARRIS,FRIENDS OF NAPOLEON HARRIS,STATE SENATE,15,2018.0
IL,MICHAEL E. HASTINGS,CITIZENS FOR MICHAEL E HASTINGS,STATE SENATE,19,2020.0
IL,ELIZABETH HERNANDEZ,CITIZENS FOR ELIZABETH HERNANDEZ,STATE HOUSE,24,2020.0
IL,BARBARA HERNANDEZ,FRIENDS OF BARBARA HERNANDEZ,STATE HOUSE,83,2020.0
IL,MAURA HIRSCHAUER,FRIENDS OF MAURA HIRSCHAUER,STATE HOUSE,49,2020.0
IL,JAY C. HOFFMAN,COMMITTEE TO ELECT JAY C HOFFMAN,STATE HOUSE,113,2020.0
IL,LINDA HOLMES,CITIZENS FOR LINDA HOLMES,STATE SENATE,42,2018.0
IL,MATTIE HUNTER,FRIENDS OF MATTIE HUNTER,STATE SENATE,3,2018.0
IL,FRANCES ANN HURLEY,FRIENDS OF FRAN HURLEY,STATE HOUSE,35,2020.0
IL,PAUL JACOBS,COMMITTEE TO ELECT DR PAUL JACOBS,STATE HOUSE,115,2020.0
IL,ADRIANE JOHNSON,NOT FOUND,STATE SENATE,30,
IL,THADDEUS M. JONES,JONES FOR STATE REPRESENTATIVE,STATE HOUSE,29,2020.0
IL,EMIL JONES,CITIZENS FOR EMIL JONES,STATE SENATE,14,2018.0
IL,PATRICK J. JOYCE,JOYCE FOR SENATE,STATE SENATE,40,2020.0
IL,JEFF KEICHER,FRIENDS OF JEFF KEICHER,STATE HOUSE,70,2020.0
IL,STEPHANIE A. KIFOWIT,FRIENDS OF STEPHANIE KIFOWIT,STATE HOUSE,84,2020.0
IL,DAVID KOEHLER,FRIENDS OF DAVE KOEHLER,STATE SENATE,46,2020.0
IL,STEVEN M. LANDEK,CITIZENS FOR STEVE LANDEK,STATE SENATE,12,2018.0
IL,LINDSEY LAPOINTE,FRIENDS OF LAPOINTE,STATE HOUSE,19,2020.0
IL,SETH LEWIS,CITIZENS FOR SETH LEWIS,STATE HOUSE,45,2020.0
IL,KIMBERLY A. LIGHTFORD,CITIZENS FOR LIGHTFORD,STATE SENATE,4,2020.0
IL,CAMILLE Y. LILLY,FRIENDS OF CAMILLE Y LILLY,STATE HOUSE,78,2020.0
IL,MEG LOUGHRAN-CAPPEL,COMMITTEE TO ELECT MEG LOUGHRAN CAPPEL,STATE SENATE,49,2020.0
IL,MARK A. LUFT,NOT FOUND,STATE HOUSE,91,2020.0
IL,THERESA MAH,FRIENDS OF THERESA MAH,STATE HOUSE,2,2020.0
IL,NATALIE A. MANLEY,FRIENDS OF NATALIE MANLEY,STATE HOUSE,98,2020.0
IL,MICHAEL MARRON,CITIZENS TO ELECT MIKE MARRON,STATE HOUSE,104,2020.0
IL,ROBERT F. MARTWICK,FRIENDS OF ROBERT MARTWICK,STATE SENATE,10,2020.0
IL,JOYCE MASON,FRIENDS OF JOYCE MASON,STATE HOUSE,61,2020.0
IL,RITA MAYFIELD,FRIENDS OF RITA MAYFIELD,STATE HOUSE,60,2020.0
IL,DEANNE MARIE MAZZOCHI,CITIZENS FOR MAZZOCHI,STATE HOUSE,47,2020.0
IL,STEVE MCCLURE,FRIENDS OF STEVE MCCLURE,STATE SENATE,50,2018.0
IL,TONY M. MCCOMBIE,MCCOMBIE FOR ILLINOIS,STATE HOUSE,71,2020.0
IL,DAN MCCONCHIE,ELECT DAN MCCONCHIE,STATE SENATE,26,2018.0
IL,MARTIN J. MCLAUGHLIN,MARTIN MCLAUGHLIN FOR STATE REPRESENTATIVE,STATE HOUSE,52,2020.0
IL,CHARLES E. MEIER,CITIZENS FOR CHARLIE MEIER,STATE HOUSE,108,2020.0
IL,DEBBIE MEYERS-MARTIN,CITIZENS FOR DEBBIE MEYERS MARTIN,STATE HOUSE,38,2020.0
IL,CHRIS MILLER,CITIZENS FOR CHRIS MILLER,STATE HOUSE,110,2020.0
IL,ANNA C. MOELLER,FRIENDS FOR ANNA MOELLER,STATE HOUSE,43,2020.0
IL,BOB MORGAN,FRIENDS OF BOB MORGAN,STATE HOUSE,58,2020.0
IL,JULIE A. MORRISON,JULIE MORRISON FOR STATE SENATE,STATE SENATE,29,2018.0
IL,THOMAS R. MORRISON,CITIZENS FOR TOM MORRISON,STATE HOUSE,54,2020.0
IL,MARTIN J. MOYLAN,FRIENDS FOR MARTY MOYLAN FOR STATE REPRESENTATIVE,STATE HOUSE,55,2020.0
IL,ANTONIO MUNOZ,CITIZENS FOR ANTONIO TONY MUNOZ,STATE SENATE,1,2020.0
IL,LAURA M. MURPHY,CITIZENS FOR LAURA M MURPHY,STATE SENATE,28,2020.0
IL,MIKE MURPHY,FRIENDS OF MIKE MURPHY,STATE HOUSE,99,2020.0
IL,MICHELLE MUSSMAN,FRIENDS OF MICHELLE MUSSMAN,STATE HOUSE,56,2020.0
